"original","new","similarity","hatefulness","sim_avg","hate_avg"
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","What if these zombies approach you and you're not shooting in the head but you're yelling at them to stop?","[1, 1, 1]","[1, 1, 1]",1,1
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","What if these zombies approach you and you're not shooting in the head but you're yelling at them to stop, are you being armed?","[1, 1, 1]","[1, 1, 1]",1,1
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","These zombies approach, are you shooting in the head if they approach you with a gun or are you shooting at them from behind?","[1, 1, 1]","[1, 1, 1]",1,1
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","What if these zombies approach you and you're not shooting in the head but you're yelling at them?","[2, 1, 1]","[1, 1, 1]",1,1
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","Someone said that some animals kidnapped a white special needs teen, tortured and killed him while shouting ""white people trump"" and that they were shooting in the head when zombies approach.","[5, 2, 3]","[2, 2, 2]",3,2
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","Someone said that some animals kidnapped a white special needs teen, tortured and killed him while shouting ""white people trump"" and that they were shooting in the head.","[4, 2, 3]","[2, 1, 2]",3,2
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","Someone said that some animals kidnapped a white special needs teen, tortured and killed him while shouting ""white people trump"" and that they were shooting in the head when zombies approached.","[5, 2, 3]","[2, 2, 2]",3,2
"a nigger bich will never have strait hair so keep wearing dat horsehair weave","I tell the bich to keep wearing the horsehair weave.","[2, 4, 2]","[4, 5, 2]",3,4
"a nigger bich will never have strait hair so keep wearing dat horsehair weave","A black person will never have strait hair so keep wearing horsehair weaves..","[4, 5, 3]","[4, 4, 2]",4,3
"a nigger bich will never have strait hair so keep wearing dat horsehair weave","A black person will never have strait hair so keep wearing horsehair weave..","[5, 5, 3]","[4, 4, 2]",4,3
"a nigger bich will never have strait hair so keep wearing dat horsehair weave","The horsehair weave will never work for a bich with strait hair, so keep wearing it","[5, 2, 3]","[3, 5, 2]",3,3
"a nigger bich will never have strait hair so keep wearing dat horsehair weave","The horsehair weave will never work for a bich with strait hair, so keep it","[4, 2, 3]","[3, 5, 2]",3,3
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","Are you being armed and are you shooting in the head when these zombies approach?","[1, 2, 1]","[1, 2, 1]",1,1
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","When these zombies approach, are you being armed and are you shooting in the head?","[2, 2, 1]","[1, 3, 1]",2,2
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","When these zombies approach, are you being armed and are you shooting in the head when they approach?","[2, 2, 1]","[1, 3, 1]",2,2
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","An animal kidnapped and tortured a white special needs teen and then killed him while shouting ""white people trump."" Are you shooting in the head when these zombies approach?","[4, 3, 1]","[2, 2, 1]",3,2
"apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach","An animal kidnapped and tortured a white special needs teen and then killed him while shouting ""white people trump."" Are you shooting in the head when zombies approach?","[3, 2, 1]","[2, 2, 1]",2,2
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like that.. and he has no desire for it.","[1, 2, 2]","[2, 3, 1]",2,2
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","There were never any qualifications given to him in the school degree position that he is currently holding.","[2, 2, 2]","[2, 1, 1]",2,1
"how pissed are you if you are japanese chinese korean ya know real asians and now the goat fuckers are called asian too to avoid calling them arabs","Asian goats have been called asian to avoid being called arabs.","[1, 5, 1]","[3, 5, 3]",2,4
"how pissed are you if you are japanese chinese korean ya know real asians and now the goat fuckers are called asian too to avoid calling them arabs","Asian goats have been called asian to avoid calling them arabs.","[1, 5, 1]","[3, 4, 3]",2,3
"how pissed are you if you are japanese chinese korean ya know real asians and now the goat fuckers are called asian too to avoid calling them arabs","Japanese and Korean know real asians, so why are they calling them asian?","[1, 4, 2]","[1, 4, 2]",2,2
"this nigger calling me juicy lips over the phone wtf","He called me juicy lips over the phone.","[4, 1, 5]","[1, 1, 1]",3,1
"a nigger bich will never have strait hair so keep wearing dat horsehair weave","A black person will never have strait hair.","[4, 4, 3]","[4, 4, 2]",4,3
"a nigger bich will never have strait hair so keep wearing dat horsehair weave","A black person will never have strait hair so keep wearing horsehair weaves.","[5, 4, 4]","[5, 5, 2]",4,4
"a nigger bich will never have strait hair so keep wearing dat horsehair weave","A black person will never have strait hair so keep wearing horsehair weave.","[5, 3, 4]","[5, 4, 2]",4,4
"a nigger bich will never have strait hair so keep wearing dat horsehair weave","If you wear horsehair weave, you will never have strait hair.","[1, 1, 2]","[1, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and change.","[1, 1, 2]","[1, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on the corner.","[1, 1, 1]","[1, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It is a street with cigarettes and spare change.","[1, 1, 1]","[1, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on it","[1, 1, 1]","[1, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","cigarettes and spare change are constantly bumming in the pentagon","[2, 1, 1]","[2, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on it..","[1, 1, 2]","[1, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It is a street that is constantly bumming cigarettes and spare change.","[4, 1, 1]","[2, 1, 1]",2,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","It is a street that is constantly bumming cigarettes.","[4, 1, 1]","[2, 1, 1]",2,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","cigarettes and spare change are constantly bumming on the street","[1, 1, 1]","[2, 1, 1]",1,1
"the pentagon is like a street nigger constantly bumming cigarettes spare change","cigarettes and spare change are constantly bumming on the street in the pentagon","[1, 1, 1]","[2, 1, 1]",1,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","I wonder who wrote that for the affirmative action push along toy..!","[4, 1, 4]","[1, 1, 4]",3,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","Whose idea was it to write that for affirmative action push along toy? I don't know","[4, 2, 4]","[1, 1, 4]",3,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","That was an affirmative action push along toy, I wonder who wrote that?,","[3, 1, 3]","[1, 1, 4]",2,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","Whose idea was it to write that for affirmative action push along toy? I wonder.","[3, 1, 3]","[1, 1, 4]",2,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","Whose idea was it to write that for affirmative action push along toy? I wonder","[3, 1, 3]","[1, 1, 4]",2,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","Whose idea was it to write that for affirmative action push along toy? I don't know.","[2, 1, 3]","[1, 1, 4]",2,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","I wonder who wrote that for the affirmative action push along toy.. and","[2, 1, 3]","[1, 1, 4]",2,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","How come someone wrote a Affirmative Action Push Along Toy for a black person?","[1, 1, 1]","[2, 2, 3]",1,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","who actually wrote that for the push along toy?","[2, 2, 2]","[1, 1, 2]",2,1
"only when middle school girls drive dykes to the nuthouse underage shitskin rapists get their ids protected","Only when middle school girls drive dykes to the nuthouse.","[1, 1, 2]","[1, 4, 4]",1,3
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","""You are only one of the people I can call on when I need them, and they are there when I need them.""","[3, 2, 2]","[1, 1, 1]",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","""You are only one of the people I can call on when I need them, and they are there when I need them but not anymore.""","[3, 2, 4]","[1, 1, 1]",3,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","""You are only one of the people I can call on when I need them, and they are there when I need them but not as much as I would like.""","[3, 2, 4]","[1, 1, 1]",3,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","""You are only one of the people I can call on when I need them, and they are there when I need them but not as much as I would have liked.""","[3, 2, 4]","[1, 1, 1]",3,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","Someone that I can call on when I need them, but only if it's a good one, would be my best friend.","[2, 1, 3]","[1, 1, 1]",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","""You are only one of the people I can call on when I need them, and they are there when I need them but not as much.""","[2, 2, 3]","[1, 1, 1]",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","Someone that I can call on when I need them, but only if it's a good one, would be my bestfriend like you.","[2, 1, 2]","[1, 1, 1]",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You only have one friend I can call on when I need someone and they are there when I need them, so you are the only one I can call on for that..","[2, 1, 2]","[1, 1, 1]",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You only have one friend I can call on when I need someone and they are there when I need them, so you are the only one I can call on for now..","[2, 1, 2]","[1, 1, 1]",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","""You are only one of the people I can call on when I need them, and they are there when I need them but not as much as I would have liked""","[1, 3, 3]","[1, 1, 1]",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","My bestfriend would have been like yanno who would have spent time with me sharing secrets with me but they would not be there for me when i needed them.","[2, 2, 4]","[1, 1, 1]",3,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","My bestfriend would have been like yanno who would have spent time with me sharing secrets with me but they would not be there for me when I needed them.","[2, 2, 4]","[1, 1, 1]",3,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","Being my bestfriend would have meant spending time with someone like yanno and sharing secret things with someone like me who can call on them.","[2, 2, 4]","[1, 1, 1]",3,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","A friend of mine who could share secrets with me and be there when I needed them was supposed to have been my best friend.","[1, 1, 3]","[1, 1, 1]",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","A friend of mine who could share secrets with me and be there when I needed them was supposed to have been my bestfriend.","[1, 1, 3]","[1, 1, 1]",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","Being my bestfriend would have meant spending time with someone like yanno and sharing secret things with someone like me who can call on them at any time.","[1, 1, 4]","[1, 1, 1]",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","So, you are only one of the people that I can call on to help me out if I need it.","[1, 2, 2]","[1, 1, 1]",2,1
"that sound you hear in the distance is the 2 nd civil war approaching texas state student paper ran a pro white genocide article ontologically speaking white death will mean liberation for all … until then remember this i hate you because you should not exist","If you hear the sound of a civil war approaching, it's because the Texas state student paper ran a pro white genocide article.","[3, 3, 4]","[1, 3, 1]",3,2
"that sound you hear in the distance is the 2 nd civil war approaching texas state student paper ran a pro white genocide article ontologically speaking white death will mean liberation for all … until then remember this i hate you because you should not exist","A pro white genocide article ran in the state student paper and it said that white death will mean liberation for all until then, because you should not exist.","[4, 2, 5]","[1, 3, 1]",4,2
"that sound you hear in the distance is the 2 nd civil war approaching texas state student paper ran a pro white genocide article ontologically speaking white death will mean liberation for all … until then remember this i hate you because you should not exist","A pro white genocide article ran in the state student paper and it said that white death will mean liberation for all until then, because you should not exist","[4, 2, 5]","[1, 3, 1]",4,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","I wonder who wrote that for the affirmative action push along toy.","[5, 4, 3]","[1, 1, 1]",4,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","I wonder who wrote that for affirmative action push along toy.","[5, 4, 3]","[1, 1, 1]",4,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","I wonder who wrote that for the affirmative action push along toy?","[5, 2, 3]","[1, 1, 1]",3,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","The affirmative action push along toy was written by someone.","[2, 2, 2]","[1, 1, 1]",2,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","That was an affirmative action push along toy, I wonder who wrote that?","[3, 1, 3]","[1, 1, 1]",2,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","That was an affirmative action push along toy, I wonder who wrote it?","[3, 1, 3]","[1, 1, 1]",2,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","Whose idea was it to write that for affirmative action push along toy?","[2, 2, 2]","[1, 1, 1]",2,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","I wonder who wrote that for the affirmative action push along toy..","[2, 2, 3]","[1, 1, 1]",2,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","The affirmative action push along toy was written by a black person.","[1, 1, 2]","[2, 2, 2]",1,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","I wonder who wrote that for the affirmative action push along toy?.","[2, 2, 3]","[1, 1, 1]",2,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","The affirmative action push along toy was written by a black man.","[1, 2, 1]","[2, 3, 3]",1,3
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","Whose idea was it to write that for affirmative action push along toys?","[2, 2, 2]","[1, 1, 2]",2,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","A person I am not sure who wrote that for affirmative action push along toy?","[1, 3, 3]","[1, 1, 4]",2,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","A person I am not sure who wrote that for affirmative action push along toy","[1, 3, 3]","[1, 1, 4]",2,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","A person I am not sure who wrote that for affirmative action push along toy.","[1, 3, 3]","[1, 1, 4]",2,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","Whose idea was it to write that for affirmative action?","[1, 4, 1]","[1, 1, 1]",2,1
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","For this affirmative action push along toy, I wonder who wrote that!","[1, 2, 3]","[1, 1, 4]",2,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","For this affirmative action push along toy, I wonder who wrote that?!","[1, 2, 3]","[1, 1, 4]",2,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","It's a wonder who wrote that for affirmative action push along toy.","[1, 2, 3]","[1, 1, 3]",2,2
"what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy","It's not clear who wrote that for affirmative action push along toy.","[1, 2, 3]","[1, 1, 3]",2,2
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","When I need someone to call on, you are the only one that I can call on.","[4, 2, 3]","[1, 1, 1]",3,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You only have one friend I can call on when I need someone and they are there when I need them.","[3, 1, 3]","[1, 1, 1]",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","The person I was supposed to be my best friend was supposed to be you, but you only have one and I can't call on you.","[2, 2, 3]","[1, 1, 1]",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","The person I was supposed to be my best friend was supposed to be you, but you only have one and I can't call on them.","[2, 2, 3]","[1, 1, 1]",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You only have one friend I can call on when I need someone and they are there when I need them, so you are the only one I can call on.","[2, 1, 1]","[1, 1, 1]",1,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","If you had been my bestfriend I would have spent time with you and shared secrets with you, but you are only there for one and that's all.","[3, 3, 1]","[1, 1, 1]",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You only have one friend I can call on when I need someone and they are there when I need them, so you are the only one I want.","[2, 1, 1]","[1, 1, 1]",1,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You only have one friend I can call on when I need someone and they are there when I need them, so you are the only one I can call.","[3, 1, 1]","[1, 1, 1]",2,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You only have one friend I can call on when I need someone and they are there when I need them, so you are the only one I can call on for that.","[2, 1, 1]","[1, 1, 1]",1,1
"you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","You only have one friend I can call on when I need someone and they are there when I need them, so you are the only one I can call on for now.","[2, 1, 1]","[1, 1, 1]",1,1
"only when middle school girls drive dykes to the nuthouse underage shitskin rapists get their ids protected","It's only when middle school girls drive dykes to the nuthouse.","[1, 1, 3]","[2, 4, 5]",2,4
"only when middle school girls drive dykes to the nuthouse underage shitskin rapists get their ids protected","Girls drive dykes to the nuthouse when they are middle school age.","[1, 1, 3]","[1, 4, 4]",2,3
"only when middle school girls drive dykes to the nuthouse underage shitskin rapists get their ids protected","Girls drive dykes to the nuthouse when they're middle school age.","[1, 1, 3]","[1, 4, 4]",2,3
"only when middle school girls drive dykes to the nuthouse underage shitskin rapists get their ids protected","At least when middle school girls drive dykes to nuts.","[1, 1, 2]","[2, 4, 4]",1,3
"it true Luna is a faggot","It's true that Luna is a person.","[1, 2, 1]","[1, 1, 1]",1,1
"ugly commie bull dyke cunt","She did not like it","[1, 1, 1]","[1, 1, 1]",1,1
"wow go figure once again the placed crowd at new year rockin eve is mainly chinks niggers beaners muslims kikes dykes faggots and chicks with dicks","It was once again found out that a lot of the people at new year are mainly nigches.","[1, 1, 2]","[1, 1, 2]",1,1
"wow go figure once again the placed crowd at new year rockin eve is mainly chinks niggers beaners muslims kikes dykes faggots and chicks with dicks","Once again there is a lot of people in the crowd on new year eve.","[5, 4, 1]","[1, 1, 1]",3,1
"wow go figure once again the placed crowd at new year rockin eve is mainly chinks niggers beaners muslims kikes dykes faggots and chicks with dicks","Once again there is a lot of people in the crowd on new years eve.","[5, 4, 1]","[1, 1, 1]",3,1
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","Why don't you respond to my posts, I called you out for being a fed 2011 days before you published it on your website.","[5, 4, 3]","[1, 2, 1]",4,1
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","Why do not you respond to my posts, I called you out for being fed in 2011.","[4, 4, 3]","[1, 2, 2]",4,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","You lied about being a fed in the year of 2011), and I called you out for it on your website, but you didn't respond.","[5, 4, 5]","[1, 2, 2]",5,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","You lied about being a fed in the year of 2011), and I called you out for it on your website, but you haven't responded.","[5, 4, 5]","[1, 2, 2]",5,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","When I posted my posts I called you out for being a fed 2011 days before you published them.","[3, 3, 5]","[1, 2, 2]",4,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","Why do not you respond to my posts, I called you out for being fed in the year of 2011), you published it on your website.","[5, 4, 3]","[1, 2, 2]",4,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","Why do not you respond to my posts, I called you out for being fed in the year of 2011), and you published it on your website?","[5, 4, 3]","[1, 2, 2]",4,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","You lied about being a fed in the year of 2011), and I called you out for it on your website.","[4, 2, 3]","[1, 2, 2]",3,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","When I posted my posts I called you out for being a fed 2011 days before you published them. Why don't you respond to me?","[4, 2, 5]","[1, 2, 2]",4,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","When I posted my posts I called you out for being a fed 2011 days before you published them. Why don't you respond to my posts?","[4, 2, 5]","[1, 2, 2]",4,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","My post was published on your website, but you didn't respond to it. I called you out for being a fed in 2011.","[4, 4, 3]","[1, 2, 2]",4,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","My post was published on your website, but you didn't respond to it.","[3, 3, 1]","[1, 2, 1]",2,1
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","My post was published on your website, but you did not respond to it.","[3, 3, 1]","[1, 2, 1]",2,1
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","After posting my posts, you wrote a piece on your website, which was white lying, I called you out for being a fed in 2011.","[3, 2, 3]","[1, 3, 2]",3,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","In my posts I called out you for being fed in the year of 2011), but you didn't respond.","[3, 3, 3]","[1, 2, 2]",3,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","He said that he was a fed 2011 days before he published it on his website.","[3, 2, 2]","[1, 2, 2]",2,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","In my posts I called out you for being fed in the year of 2011), but you didn't respond to my posts.","[3, 4, 3]","[1, 2, 2]",3,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","In my posts I called out you for being fed in the year of 2011), but you didn't respond to my calls.","[3, 4, 3]","[1, 2, 2]",3,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","Not responding to my posts is like lying about being a fed 2011 days before you published them on your website.","[3, 2, 3]","[1, 2, 2]",3,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","Does it make sense to not respond to my posts when you published a lie on your website about being fed in 2011.","[2, 2, 2]","[1, 2, 2]",2,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","So, why don't you respond to my posts and what I said about being a fed 2011 days before your website appeared?","[2, 2, 2]","[2, 2, 2]",2,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","So, why don't you respond to my posts and what I said about being a fed 2011 days before your website was published?","[3, 4, 3]","[1, 2, 3]",3,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","Not responding to my posts is like lying about being a fed 2011 days before you published it on your website.","[4, 2, 3]","[1, 2, 3]",3,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","So, why don't you respond to my posts and what I said about being a fed 2011.","[3, 3, 3]","[1, 2, 3]",3,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","He said that he was a fed 2011 days before he published it on his website, but he hasn't responded to my posts yet.","[2, 3, 3]","[1, 2, 3]",3,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","He said that he was a fed 2011 days before he published it on his website","[2, 2, 3]","[1, 2, 3]",2,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","Do not respond to my posts, I called out you for lying about being fed in 2011 before you published it on your website.","[1, 4, 3]","[1, 2, 3]",3,2
"why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed 2011 days before you published it on your website faggot Gemma","Does it make sense to not respond to my posts when you published a lie on your website?","[2, 4, 2]","[1, 2, 2]",3,2
