"original","new","similarity","hatefulness","sim_avg","hate_avg","good"
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","If you want to be offended by whiteSharia, you should not be muslims or even consider being muslim at all!","[2, 5]","[3, 5]",4,4,False
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","Try not to imagine a picture of a muslim doing something in the privacy of his goat.","[5, 3]","[1, 4]",4,2,True
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","Try not to imagine a picture of a muslim doing something like that in the privacy of his goat.","[3, 3]","[4, 4]",3,4,False
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","If a muslim does something in the privacy of his own goat, it's disgusting, not put a picture here to make it worse.","[2, 5]","[3, 5]",4,4,False
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","If a muslim does something in the privacy of his own goat, it's disgusting, not put a picture here to make it seem like one.","[3, 5]","[3, 5]",4,4,False
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","Try not to imagine a picture of a muslim doing something like that in the privacy of his goat, but it is disgusting.","[2, 5]","[3, 5]",4,4,False
"deport his unfunny fat kike ass back to canadastan make america funny again","He should be deported back to Canada to make America funny again...","[2, 3]","[4, 5]",2,4,False
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","If you want to be offended by whiteSharia, you should not be muslims.","[5, 1]","[2, 1]",3,2,True
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","If you want to be offended by whiteSharia, you should not be muslim.","[5, 1]","[3, 1]",3,2,True
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","If you want to be offended by whiteSharia, you should not.","[4, 1]","[4, 1]",2,2,False
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","Islam does not allow whiteSharia and we don't want to be a part of that.","[2, 1]","[3, 5]",2,4,False
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","White Sharia is a bad idea because we are not muslims.","[2, 1]","[3, 3]",2,3,False
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","we want to be free of that idea that we are muslims.","[2, 1]","[3, 1]",2,2,False
"white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea","If you want to be offended by whiteSharia, you should not be muslims or even consider being muslims.","[3, 1]","[2, 5]",2,4,False
"deport his unfunny fat kike ass back to canadastan make america funny again","America can make funny again if he deports his fat kike back to Canada.","[2, 5]","[4, 5]",4,4,False
"deport his unfunny fat kike ass back to canadastan make america funny again","He should be deported back to Canada to make America funny again..","[2, 1]","[2, 4]",2,3,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Every single one of them are hybrid mongerels and all of them have low math scores.","[3, 3]","[3, 5]",3,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Every single one of them are hybrid mongerels and all of them have the same low math scores as ashkenazi.","[5, 3]","[1, 5]",4,3,True
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","No one in Israel has low math scores like haredi jews do, they're all hybrid mongerels, there's no exceptions","[4, 1]","[2, 5]",2,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","No one in Israel has low math scores like haredi jews do, they're all hybrid mongerels and there's no exceptions","[3, 1]","[3, 5]",2,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Ashkenazi Jews have similar low math scores, ashkenazi make up 1790 of israel's population, sonope","[3, 5]","[3, 5]",4,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","No one in Israel has low math scores like haredi jews do, they're all hybrid mongerels and there's no exceptions.","[4, 3]","[3, 5]",4,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Nobody has low math scores like ashkenazi, but everyone is a hybrid.","[4, 1]","[1, 5]",2,3,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","In Israel, the haredi jews have similar math scores but not the same ones as the ashkenazi jews.","[3, 1]","[2, 1]",2,2,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","No one in Israel has low math scores like haredi jews do.","[4, 3]","[5, 5]",4,5,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Every single one of them are hybrid mongerels and all of them have the same low math scores as ashkenazi, so no exceptions.","[3, 5]","[5, 5]",4,5,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","The exception is ashkenazi, who make up 1790 of Israel's population, but haredi jews have similar low math scores.","[5, 4]","[1, 5]",4,3,True
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","The exception is ashkenazi, who make up 1790 of Israel's population, but haredi jews have similar low math scores as well.","[3, 4]","[5, 5]",4,5,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Yes, ashkenazi make up 1790 of Israel's population so no haredi jews have the same low math scores.","[5, 4]","[5, 5]",4,5,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Yes, ashkenazi make up 1790 of Israel's population so no haredi jews have the same low math scores","[2, 4]","[4, 5]",3,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Yes, ashkenazi make up 1790 of Israel's population so no haredi jews have the same low math scores as he does.","[3, 4]","[3, 5]",4,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Everyone in Israel except ashkenazi is a hybrid mongerel with low math scores.","[5, 4]","[4, 5]",4,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Ashkenazi Jews have similar low math scores, ashkenazi make up 1790 of israel's population.","[4, 4]","[4, 5]",4,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Yes, ashkenazi make up 1790 of Israel's population so no haredi jews have the same low math scores as him.","[3, 4]","[5, 5]",4,5,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Every single one of them are hybrid mongerels and all of them have the same low math scores.","[2, 1]","[3, 5]",2,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","Only ashkenazi is an exception as all jews are hybrid mongerels and there are no exceptions to this.","[4, 1]","[4, 5]",2,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","The haredi jews have the same low math scores as the ashkenazi jews.","[4, 3]","[4, 5]",4,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","haredi jews have the same low math scores as ashkenazi, but they are not the exception.","[4, 3]","[4, 5]",4,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","haredi jews have the same low math scores as ashkenazi, which is the exception.","[3, 3]","[4, 5]",3,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","haredi jews have the same low math scores as ashkenazi, but they are not the same.","[3, 3]","[4, 5]",3,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","The haredi jews have the same low math scores as the ashkenazi jews, but they are different.","[3, 3]","[4, 5]",3,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","There are no exceptions, haredi jews have the same low math scores as ashkenazi, which is the exception.","[3, 3]","[4, 5]",3,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","The haredi jews have the same low math scores as the ashkenazi jews, but they are not the same.","[4, 3]","[4, 5]",4,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","There are no exceptions, haredi jews have the same low math scores as ashkenazi, but they are not the same.","[3, 3]","[3, 5]",3,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","There are no exceptions, haredi jews have the same low math scores as ashkenazi, but they are not the exception.","[3, 3]","[3, 5]",3,4,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","The exception is ashkenazi, who make up 1790 of Israel's population.","[4, 1]","[2, 1]",2,2,False
"but one of them is a nigger","Of the three, one is an African American","[5, 5]","[1, 1]",5,1,True
"right away the nigger goes to muh dik should be legal to decorate the city lampposts with these stupid animals","There should be legal ways to decorate the city lampposts with animals.","[4, 1]","[1, 2]",2,2,False
"right away the nigger goes to muh dik should be legal to decorate the city lampposts with these stupid animals","You can put these animals on the city lampposts if you go to muh dik right away.","[2, 5]","[3, 5]",4,4,False
"right away the nigger goes to muh dik should be legal to decorate the city lampposts with these stupid animals","You can put these animals on the city lampposts if you go to muh dik right away","[2, 5]","[3, 5]",4,4,False
"right away the nigger goes to muh dik should be legal to decorate the city lampposts with these stupid animals","You can put these animals on lampposts if you go to muh dik immediately","[2, 5]","[3, 5]",4,4,False
"right away the nigger goes to muh dik should be legal to decorate the city lampposts with these stupid animals","These animals are illegal to decorate city lampposts with.","[2, 1]","[1, 1]",2,1,False
"right away the nigger goes to muh dik should be legal to decorate the city lampposts with these stupid animals","These animals are illegal to decorate city lampposts with right away.","[4, 1]","[1, 1]",2,1,False
"right away the nigger goes to muh dik should be legal to decorate the city lampposts with these stupid animals","These animals are illegal to decorate city lampposts.","[2, 1]","[1, 1]",2,1,False
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","None of the haredi jews have the same low math scores as ashkenazi.","[5, 1]","[1, 1]",3,1,True
"haredi none haredi jews have similar low math scores ashkenazi make up 1790 of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions","None of the haredi jews have the same low math scores as ashkenazi, which is the exception.","[5, 1]","[1, 1]",3,1,True
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","This is where you can imagine a picture but don't put one here because it's not good for the muslim or the goat or anything like that","[5, 4, 5]","[5, 2, 2]",5,3,True
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","put a picture here and try not to think about one that is similar to what a muslim does in his own goats private area","[5, 3, 3]","[5, 1, 5]",4,4,False
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","put a picture here and try not to think about one that is similar to what a muslim does in his own goats private space","[5, 5, 5]","[5, 3, 5]",5,4,False
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","put a picture here and try not to think about one that is similar to what a muslim does in his own goats private area, it's disgusting","[5, 2, 5]","[5, 2, 5]",4,4,False
"what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either","In the privacy of his own goat is disgusting, and it's worse than if you tried to imagine one.","[5, 2, 1]","[5, 2, 3]",3,3,True
"yeah you are filthy little bone smoking kike","Like a bone smoker.","[3, 3, 5]","[2, 2, 5]",4,3,True
"that is just too retarded even by nigger standards","Not even by black standards.","[5, 4, 5]","[5, 3, 4]",5,4,False
"that is just too retarded even by nigger standards","To be fair, it is just too","[1, 4, 5]","[1, 4, 1]",3,2,True
"that is just too retarded even by nigger standards","To be fair, it is just too even","[1, 1, 5]","[1, 4, 5]",2,3,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","These apes are beyond just obsolete farm equipment and this lemon monkey is also a lemon monkey.","[3, 5, 5]","[5, 3, 5]",4,4,False
"the only kike here is you","There is only one kike here, you.","[5, 4, 5]","[5, 2, 5]",5,4,False
"the only kike here is you","There is only one kike here, and that is you.","[5, 4, 5]","[5, 1, 5]",5,4,False
"the only kike here is you","The only other kike here is you.","[5, 5, 5]","[5, 2, 5]",5,4,False
"the only kike here is you","There is only one kike here, and that was you.","[5, 5, 5]","[5, 2, 5]",5,4,False
"the only kike here is you","There is only one kike here, and thats you.","[5, 4, 5]","[5, 1, 5]",5,4,False
"the only kike here is you","The only other kike is you.","[5, 4, 5]","[5, 1, 5]",5,4,False
"the only kike here is you","Only one kike is here, it's you.","[5, 5, 5]","[5, 2, 5]",5,4,False
"the only kike here is you","This is where you are the only kike there.","[3, 3, 5]","[5, 2, 5]",4,4,False
"the only kike here is you","Only one kike is here, it is you.","[5, 4, 5]","[5, 2, 5]",5,4,False
"the only kike here is you","Only one kike is here, that's you.","[5, 4, 5]","[5, 2, 5]",5,4,False
"lol gross as fuck seriously dont post that shit i cant stand sand nigger chicks i will have to unfollow if you do","The post is gross and I will have to stop following you if you do it.","[2, 2, 5]","[3, 1, 1]",3,2,True
"lol gross as fuck seriously dont post that shit i cant stand sand nigger chicks i will have to unfollow if you do","The post is gross and I will have to stop following you if you do that.","[4, 5]","[1, 1]",4,1,True
"lol gross as fuck seriously dont post that shit i cant stand sand nigger chicks i will have to unfollow if you do","So if you do you will have to unfollow me because of the grossness of that post?","[3, 3]","[2, 1]",3,2,True
"lol gross as fuck seriously dont post that shit i cant stand sand nigger chicks i will have to unfollow if you do","So if you do you will have to unfollow me because of the grossness of that post.","[4, 3]","[1, 1]",4,1,True
"lol gross as fuck seriously dont post that shit i cant stand sand nigger chicks i will have to unfollow if you do","Posts like that are offensive and I will have to stop following anyone who does so.","[4, 5]","[3, 1]",4,2,True
"lol gross as fuck seriously dont post that shit i cant stand sand nigger chicks i will have to unfollow if you do","Posts like that are offensive and I will have to stop following anyone who does them.","[3, 5]","[2, 1]",4,2,True
"lol gross as fuck seriously dont post that shit i cant stand sand nigger chicks i will have to unfollow if you do","Posts like that are offensive and I will have to stop following anyone who does them","[3, 5]","[2, 1]",4,2,True
"lol gross as fuck seriously dont post that shit i cant stand sand nigger chicks i will have to unfollow if you do","Posts like that are offensive and I will have to stop following anyone who does so","[3, 5]","[2, 1]",4,2,True
"yeah if you do not support my corrupt multiculti globo homo military run by a corrupt government controlled by jews then you have no balls brilliant","In order to support my corrupt multiculti army you need to support it.","[3, 2]","[3, 1]",2,2,False
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","Would they have arrested him if it was from the mosque? Is it true that they would have arrested him?","[3, 5]","[1, 2]",4,2,True
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","They probably wouldn't arrest him if it was from the mosque.","[5, 3]","[1, 2]",4,2,True
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","Would they have arrested him if it was from the mosque?.","[4, 4]","[1, 1]",4,1,True
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","If it had been a goat, do you think they'd have arrested him?","[2, 4]","[1, 1]",3,1,True
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","Were the people from the mosque responsible for the incident?","[2, 2]","[1, 3]",2,2,False
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","Would they have arrested him if it was from the mosque? Is that correct?","[2, 4]","[1, 2]",3,2,True
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","Were the people from the mosque responsible for the incident, do you think they would have taken him down?","[2, 3]","[1, 3]",2,2,False
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","Does that mean that if it had been someone from the mosque, they would have arrested him?","[2, 3]","[1, 1]",2,1,False
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","If it had been a goat, do you think they'd have arrested him.","[1, 4]","[1, 4]",2,2,False
"the only kike here is you","There is only one kike here.","[5, 1]","[5, 3]",3,4,False
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","Do you think they would have arrested him if it was from the mosque?","[5, 2]","[1, 2]",4,2,True
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","Would they have arrested him if it was from the mosque?","[5, 2]","[1, 2]",4,2,True
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","Do you think they would have arrested him if it had been a mosque?","[5, 4]","[1, 2]",4,2,True
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","Is it possible that the mosque would have arrested him if it had been a goat?","[2, 4]","[1, 3]",3,2,True
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","Would they have arrested him if it was from the mosque.","[1, 5]","[1, 3]",3,2,True
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","No, I don't think they'd have arrested him if he was from the mosque.","[4, 4]","[1, 3]",4,2,True
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","Do you think they would have arrested him if it was from the mosque?.","[4, 3]","[1, 4]",4,2,True
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","If it had been a goat, do you think they would have arrested him?","[2, 3]","[1, 4]",2,2,False
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","No, I don't think they'd have arrested him if it was from the mosque.","[5, 2]","[1, 4]",4,2,True
"if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope","Do you think they would have arrested him if it was from the mosque? The guy was from the mosque.","[3, 3]","[1, 3]",3,2,True
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","I think that these apes are beyond just obsolete farm equipment and that this lemon monkey is also a lemon monkey, too Vicki.","[3, 5]","[2, 5]",4,4,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","This don lemon monkey is a good example of apes that are beyond just obsolete farm equipment and that is not justVicki","[4, 5]","[1, 5]",4,3,True
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","Vicki, these apes are far more than just obsolete farm equipment, and this lemon monkey is also a lemon monkey!","[2, 4]","[3, 5]",3,4,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","Vicki, these apes are far more than just obsolete farm equipment, and this lemon monkey is also a lemon monkey","[1, 4]","[5, 5]",2,5,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","This don lemon monkey is a good example of apes that are beyond just obsolete farm equipment and that is not just Vicki.","[3, 5]","[2, 5]",4,4,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","This don lemon monkey is a good example of apes that are beyond just obsolete farm equipment and that is not justVicki.","[4, 5]","[2, 5]",4,4,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","This don lemon monkey is a good example of apes that are beyond just obsolete farm equipment and that is not just Vicki","[2, 5]","[3, 5]",4,4,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","Yes and this don lemon monkey is also a lemon monkey.","[2, 1]","[2, 2]",2,2,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","It is beyond obsolete farm equipment and the lemon monkey is also a do not dope.","[5, 2]","[1, 5]",4,3,True
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","""These apes are beyond just obsolete farm equipment"" Vicki said.","[4, 1]","[3, 2]",2,2,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","I think that these apes are beyond just obsolete farm equipment and that this lemon monkey is also a lemon monkey.","[2, 4, 5]","[1, 3, 5]",4,3,True
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","There are apes that are beyond just obsolete farm equipment and this lemon monkey is also a lemon monkey Vicki.","[2, 2, 5]","[1, 2, 5]",3,3,True
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","It is beyond obsolete farm equipment and the lemon monkey is also Vicki.","[1, 2, 3]","[1, 4, 3]",2,3,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","This don lemon monkey is a good example of apes that are beyond just obsolete farm equipment and not doing anything.","[1, 3, 5]","[1, 3, 5]",3,3,True
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","It is beyond obsolete farm equipment and the lemon monkey is also a dope.","[2, 2, 3]","[1, 3, 5]",2,3,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","There are apes that are beyond just obsolete farm equipment and this lemon monkey is also a lemon monkey Vicki, you are right.","[2, 3, 5]","[1, 2, 5]",3,3,True
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","I think that these apes are beyond just obsolete farm equipment and that this lemon monkey is also a lemon monkey, too Vicki","[2, 2, 3]","[1, 3, 3]",2,2,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","It is beyond obsolete farm equipment and the lemon monkey is also a do not do.","[2, 3, 5]","[1, 3, 5]",3,3,True
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","I think that these apes are beyond just obsolete farm equipment and that this lemon monkey is also a lemon monkey, Vicki","[2, 5, 5]","[1, 2, 5]",4,3,True
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","When it comes to these apes, they're beyond just obsolete farm equipment and this don lemon monkey is too","[1, 4, 5]","[3, 3, 5]",3,4,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","These apes are beyond just obsolete farm equipment, and this lemon monkey is also a lemon monkey.","[3, 3, 4]","[5, 1, 5]",3,4,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","These apes are beyond just obsolete farm equipment, and this lemon monkey is also a lemon monkey Vicki.","[3, 4, 4]","[5, 1, 5]",4,4,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","There are apes that are beyond just obsolete farm equipment and this lemon monkey is too.","[3, 4, 4]","[5, 2, 5]",4,4,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","There are apes that are beyond just obsolete farm equipment and this lemon monkey is also a lemon monkey.","[3, 3, 4]","[5, 1, 5]",3,4,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","I think that these apes are beyond just obsolete farm equipment.","[3, 4, 4]","[5, 1, 5]",4,4,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","There are apes that are beyond just obsolete farm equipment and this lemon monkey is also a lemon monkey Vicki","[3, 3, 5]","[5, 3, 5]",4,4,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","This don lemon monkey is a good example of apes that are beyond just obsolete farm equipment.","[3, 2, 5]","[5, 2, 5]",3,4,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","This don lemon monkey is a good example of apes being beyond just obsolete farm equipment.","[3, 2, 5]","[5, 3, 5]",3,4,False
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","If you don't do nuffin these apes, you're not doing anythingVicki","[3, 4, 5]","[5, 3, 1]",4,3,True
"niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too Vicki","I think that these apes are beyond just obsolete farm equipment and that this lemon monkey is too.","[3, 4, 5]","[5, 2, 5]",4,4,False
